"parameter","rmse","coverage","ci_width","signif","nsite","nseason","model","scenario","nconverged"
"rho - (Intercept)",0.173103873461703,0.943119266055046,0.656704105953189,1,40,12,"auto",3,545
"rho - x",0.126457096723288,0.948623853211009,0.49232587402841,0.98348623853211,40,12,"auto",3,545
"psi - (Intercept)",2.54482035050239,0.981818181818182,2.34894099842517,0.598181818181818,40,4,"auto",3,550
"psi - x",2.46003872345452,0.963636363636364,1.82663850885184,0.921818181818182,40,4,"auto",3,550
"psi - theta",2.74281420035686,0.958181818181818,4.46752393282547,0.278181818181818,40,4,"auto",3,550
"rho - (Intercept)",0.336193157887881,0.941818181818182,1.21375239706589,0.930909090909091,40,4,"auto",3,550
"rho - x",0.24534059626294,0.934545454545455,0.902058022931502,0.647272727272727,40,4,"auto",3,550
"psi - (Intercept)",0.374281534509725,0.965328467153285,1.23228933322367,0.744525547445255,40,6,"auto",3,548
"psi - x",0.44907111101558,0.954379562043796,1.08590727530555,0.983576642335766,40,6,"auto",3,548
"psi - theta",0.634039050340029,0.965328467153285,2.21202938069502,0.43978102189781,40,6,"auto",3,548
"rho - (Intercept)",0.245389261473139,0.956204379562044,0.952567641066291,0.992700729927007,40,6,"auto",3,548
"rho - x",0.183304832396826,0.963503649635037,0.715196423760634,0.804744525547445,40,6,"auto",3,548
"psi - (Intercept)",7.65240152795705,0.959633027522936,6.20896792139138,0.811009174311927,40,8,"auto",3,545
"psi - x",7.79953708479658,0.943119266055046,6.23124679757718,0.987155963302752,40,8,"auto",3,545
"psi - theta",1.92033413992474,0.943119266055046,64.1445992776755,0.565137614678899,40,8,"auto",3,545
"rho - (Intercept)",0.259908096145136,0.937614678899083,0.814062621158019,0.998165137614679,40,8,"auto",3,545
"rho - x",0.176657102268766,0.946788990825688,0.610477359047033,0.932110091743119,40,8,"auto",3,545
"psi - (Intercept)",0.219944281202694,0.941499085923218,0.81812253876402,0.93418647166362,50,10,"auto",3,547
"psi - x",0.164741542374331,0.972577696526508,0.669311626356121,1,50,10,"auto",3,547
"psi - theta",0.38786691744914,0.952468007312614,1.45735178243169,0.786106032906764,50,10,"auto",3,547
"rho - (Intercept)",0.172666787013514,0.957952468007313,0.648950397750555,1,50,10,"auto",3,547
"rho - x",0.132405542543218,0.939670932358318,0.489332196581463,0.983546617915905,50,10,"auto",3,547
"psi - (Intercept)",0.195710890572857,0.945454545454545,0.745189372235688,0.969090909090909,50,12,"auto",3,550
"psi - x",0.161445935680746,0.941818181818182,0.606610219720013,1,50,12,"auto",3,550
"psi - theta",0.331639763642569,0.952727272727273,1.31677994739211,0.845454545454545,50,12,"auto",3,550
"rho - (Intercept)",0.147996057560719,0.947272727272727,0.587221130898058,1,50,12,"auto",3,550
"rho - x",0.114775387639599,0.941818181818182,0.443047660000512,0.994545454545455,50,12,"auto",3,550
"psi - (Intercept)",0.867407289522881,0.976363636363636,1.52791079336564,0.705454545454545,50,4,"auto",3,550
"psi - x",3.24144850214916,0.967272727272727,2.03931720204267,0.958181818181818,50,4,"auto",3,550
"psi - theta",0.728652801470693,0.958181818181818,2.82028599877314,0.385454545454545,50,4,"auto",3,550
"rho - (Intercept)",0.302947313185076,0.954545454545455,1.07687103831113,0.974545454545454,50,4,"auto",3,550
"rho - x",0.216313307627669,0.949090909090909,0.807256714408824,0.772727272727273,50,4,"auto",3,550
"psi - (Intercept)",2.3978607201501,0.956204379562044,1.78709734897745,0.835766423357664,50,6,"auto",3,548
"psi - x",1.52815257496613,0.954379562043796,1.29078157360794,0.989051094890511,50,6,"auto",3,548
"psi - theta",1.05065035594698,0.934306569343066,2.40019989548451,0.574817518248175,50,6,"auto",3,548
"rho - (Intercept)",0.249204127110536,0.954379562043796,0.846676577651461,0.994525547445255,50,6,"auto",3,548
"rho - x",0.178933857761955,0.916058394160584,0.638746629680479,0.89963503649635,50,6,"auto",3,548
"psi - (Intercept)",5.3345016457496,0.955307262569832,5.06991396020929,0.893854748603352,50,8,"auto",3,537
"psi - x",4.03706083301917,0.931098696461825,3.46694123408583,0.981378026070764,50,8,"auto",3,537
"psi - theta",1.35939349065816,0.964618249534451,3.13354479020078,0.657355679702048,50,8,"auto",3,537
"rho - (Intercept)",0.26891161065274,0.906890130353817,0.718873656730529,1,50,8,"auto",3,537
"rho - x",0.171278760292928,0.921787709497207,0.544375992652438,0.957169459962756,50,8,"auto",3,537
"psi - (Intercept)",0.182380529768012,0.967272727272727,0.735077912245054,0.98,60,10,"auto",3,550
"psi - x",0.155726441420898,0.958181818181818,0.604286290785579,1,60,10,"auto",3,550
"psi - theta",0.331729444231868,0.941818181818182,1.30658836301605,0.876363636363636,60,10,"auto",3,550
"rho - (Intercept)",0.150840480444643,0.952727272727273,0.587926632034183,1,60,10,"auto",3,550
"rho - x",0.117700581946159,0.947272727272727,0.445483777143575,0.992727272727273,60,10,"auto",3,550
"psi - (Intercept)",0.16538895832748,0.958181818181818,0.675838712299774,0.992727272727273,60,12,"auto",3,550
"psi - x",0.138151077291921,0.969090909090909,0.552301236428196,1,60,12,"auto",3,550
"psi - theta",0.295034257235125,0.956363636363636,1.19901408413147,0.923636363636364,60,12,"auto",3,550
"rho - (Intercept)",0.137900334232091,0.938181818181818,0.536545019088641,1,60,12,"auto",3,550
"rho - x",0.103219426219985,0.96,0.405925998250201,0.998181818181818,60,12,"auto",3,550
"psi - (Intercept)",0.325934731433547,0.947272727272727,1.16809114644656,0.772727272727273,60,4,"auto",3,550
"psi - x",0.26609761325775,0.965454545454545,0.999010042009376,0.981818181818182,60,4,"auto",3,550
"psi - theta",0.764357322698175,0.950909090909091,2.78277054741305,0.454545454545455,60,4,"auto",3,550
"rho - (Intercept)",0.258150455061074,0.956363636363636,0.979883708190553,0.981818181818182,60,4,"auto",3,550
"rho - x",0.192980434077011,0.96,0.736217903997175,0.810909090909091,60,4,"auto",3,550
"psi - (Intercept)",4.28675458561592,0.958878504672897,3.69748281076572,0.880373831775701,60,6,"auto",3,535
"psi - x",2.66354988411233,0.968224299065421,2.54881800463608,0.990654205607477,60,6,"auto",3,535
"psi - theta",0.58961913751729,0.945794392523365,2.2822701620509,0.642990654205608,60,6,"auto",3,535
"rho - (Intercept)",0.238159805399975,0.930841121495327,0.771622301313821,0.998130841121495,60,6,"auto",3,535
"rho - x",0.16410286171633,0.951401869158878,0.582348371099259,0.960747663551402,60,6,"auto",3,535
"psi - (Intercept)",0.204135058019386,0.968921389396709,0.819319364666913,0.961608775137112,60,8,"auto",3,547
"psi - x",0.173928808216982,0.950639853747715,0.681850513349711,1,60,8,"auto",3,547
"psi - theta",0.375772261731113,0.961608775137112,1.47246314770322,0.775137111517367,60,8,"auto",3,547
"rho - (Intercept)",0.172807735374834,0.943327239488117,0.66620403750491,1,60,8,"auto",3,547
"rho - x",0.125777307072931,0.952468007312614,0.503369036404035,0.987202925045704,60,8,"auto",3,547
"psi - (Intercept)",0.174198603363347,0.954545454545455,0.677388001473271,0.990909090909091,70,10,"auto",3,550
"psi - x",0.144713374520198,0.958181818181818,0.559202238669481,1,70,10,"auto",3,550
"psi - theta",0.318022670514186,0.941818181818182,1.21101071854535,0.901818181818182,70,10,"auto",3,550
"rho - (Intercept)",0.141874541017576,0.943636363636364,0.543934003821058,1,70,10,"auto",3,550
"rho - x",0.106545417411235,0.950909090909091,0.413731011312381,0.998181818181818,70,10,"auto",3,550
"psi - (Intercept)",0.168111382400837,0.938181818181818,0.624618480718231,0.998181818181818,70,12,"auto",3,550
"psi - x",0.141685444882589,0.936363636363636,0.512329702643431,1,70,12,"auto",3,550
"psi - theta",0.297239511925528,0.938181818181818,1.11450809841678,0.941818181818182,70,12,"auto",3,550
"rho - (Intercept)",0.132060442529116,0.947272727272727,0.496109778358913,1,70,12,"auto",3,550
"rho - x",0.0979483106231697,0.941818181818182,0.376398500658726,1,70,12,"auto",3,550
"psi - (Intercept)",2.04374100103716,0.963436928702011,1.92845343409049,0.817184643510055,70,4,"auto",3,547
"psi - x",1.46264340189104,0.956124314442413,1.55547413129791,0.983546617915905,70,4,"auto",3,547
"psi - theta",0.719142925342212,0.970749542961609,2.83341934486369,0.506398537477148,70,4,"auto",3,547
"rho - (Intercept)",0.273628503122724,0.930530164533821,0.891826780580958,0.990859232175503,70,4,"auto",3,547
"rho - x",0.189813955129102,0.93235831809872,0.675236354635243,0.861060329067642,70,4,"auto",3,547
"psi - (Intercept)",3.12228597933054,0.953703703703704,2.72169868571191,0.92962962962963,70,6,"auto",3,540
"psi - x",2.32133540643717,0.953703703703704,1.97560483495853,0.992592592592593,70,6,"auto",3,540
"psi - theta",0.815752543513181,0.964814814814815,1.91563862113022,0.714814814814815,70,6,"auto",3,540
"rho - (Intercept)",0.210297103388359,0.948148148148148,0.714273952729327,1,70,6,"auto",3,540
"rho - x",0.147505526755241,0.948148148148148,0.542843650737288,0.975925925925926,70,6,"auto",3,540
"psi - (Intercept)",0.193250321779667,0.961818181818182,0.754426493495968,0.976363636363636,70,8,"auto",3,550
"psi - x",0.166399815015195,0.949090909090909,0.62299350924365,1,70,8,"auto",3,550
"psi - theta",0.337871328980081,0.954545454545455,1.3500328356713,0.832727272727273,70,8,"auto",3,550
"rho - (Intercept)",0.159481219846207,0.952727272727273,0.610361814347252,1,70,8,"auto",3,550
"rho - x",0.118438536757122,0.947272727272727,0.464032469208405,0.994545454545455,70,8,"auto",3,550
"psi - (Intercept)",0.165611767702797,0.947272727272727,0.631228509907229,0.994545454545455,80,10,"auto",3,550
"psi - x",0.137170507659718,0.950909090909091,0.519510430609698,1,80,10,"auto",3,550
"psi - theta",0.284833571040928,0.96,1.12442470424379,0.934545454545455,80,10,"auto",3,550
"rho - (Intercept)",0.129646948495648,0.954545454545455,0.508167985339443,1,80,10,"auto",3,550
"rho - x",0.0993996211259984,0.947272727272727,0.387166496330451,1,80,10,"auto",3,550
"psi - (Intercept)",0.14621801784766,0.961818181818182,0.582358979746021,1,80,12,"auto",3,550
"psi - x",0.126293184861894,0.94,0.474873520365756,1,80,12,"auto",3,550
"psi - theta",0.276577781185466,0.934545454545455,1.03183325576429,0.967272727272727,80,12,"auto",3,550
"rho - (Intercept)",0.120906265429053,0.950909090909091,0.464087422255385,1,80,12,"auto",3,550
"rho - x",0.0953652698900799,0.938181818181818,0.353242628367939,1,80,12,"auto",3,550
"psi - (Intercept)",2.02067435235397,0.959183673469388,1.77082704069271,0.909090909090909,80,4,"auto",3,539
"psi - x",1.49776987302573,0.955473098330241,1.4545509666483,0.996289424860853,80,4,"auto",3,539
"psi - theta",0.809888813596983,0.961038961038961,2.21094519619879,0.634508348794063,80,4,"auto",3,539
"rho - (Intercept)",0.208557295653493,0.961038961038961,0.834902792545028,1,80,4,"auto",3,539
"rho - x",0.156788253676436,0.959183673469388,0.63316598480562,0.899814471243043,80,4,"auto",3,539
"psi - (Intercept)",0.209619768317692,0.946886446886447,0.803377392103825,0.963369963369963,80,6,"auto",3,546
"psi - x",0.182392388929589,0.95970695970696,0.67275221259837,1,80,6,"auto",3,546
"psi - theta",0.387621532041258,0.956043956043956,1.45353799094954,0.776556776556777,80,6,"auto",3,546
"rho - (Intercept)",0.177741493449727,0.935897435897436,0.672066685591522,1,80,6,"auto",3,546
"rho - x",0.132456969645662,0.948717948717949,0.509992513020149,0.989010989010989,80,6,"auto",3,546
"psi - (Intercept)",0.170432994428975,0.961818181818182,0.699062622838278,0.987272727272727,80,8,"auto",3,550
"psi - x",0.15578633229665,0.958181818181818,0.580857503488563,1,80,8,"auto",3,550
"psi - theta",0.311190167659019,0.956363636363636,1.25827465785335,0.892727272727273,80,8,"auto",3,550
"rho - (Intercept)",0.14207153547622,0.956363636363636,0.573017074166292,1,80,8,"auto",3,550
"rho - x",0.110521039872957,0.958181818181818,0.436054619498424,0.994545454545455,80,8,"auto",3,550
"psi - (Intercept)",0.153208870915495,0.952727272727273,0.595244824967114,1,90,10,"auto",3,550
"psi - x",0.126780442761144,0.952727272727273,0.489394784741664,1,90,10,"auto",3,550
"psi - theta",0.271595103815208,0.958181818181818,1.06219910864176,0.967272727272727,90,10,"auto",3,550
"rho - (Intercept)",0.122295800866488,0.943636363636364,0.480485322716723,1,90,10,"auto",3,550
"rho - x",0.0904662695596493,0.950909090909091,0.365124747733485,1,90,10,"auto",3,550
"psi - (Intercept)",0.141352800633233,0.958181818181818,0.546683149080387,1,90,12,"auto",3,550
"psi - x",0.118388106393246,0.943636363636364,0.448279570315301,1,90,12,"auto",3,550
"psi - theta",0.254068512848849,0.950909090909091,0.973811462496379,0.985454545454545,90,12,"auto",3,550
"rho - (Intercept)",0.112688999059768,0.94,0.435925743336986,1,90,12,"auto",3,550
"rho - x",0.0860843637265347,0.932727272727273,0.332038122659827,1,90,12,"auto",3,550
"psi - (Intercept)",3.50616504362865,0.934579439252336,3.14850568418361,0.910280373831776,90,4,"auto",3,535
"psi - x",2.78428790279896,0.964485981308411,2.49843250830234,0.994392523364486,90,4,"auto",3,535
"psi - theta",0.546856226971284,0.970093457943925,2.05235815961889,0.682242990654206,90,4,"auto",3,535
"rho - (Intercept)",0.222530576656852,0.951401869158878,0.784030370248368,1,90,4,"auto",3,535
"rho - x",0.157037991254729,0.949532710280374,0.594601201754225,0.94018691588785,90,4,"auto",3,535
"psi - (Intercept)",0.19642910334483,0.956363636363636,0.753374931246506,0.974545454545454,90,6,"auto",3,550
"psi - x",0.170068310080094,0.936363636363636,0.630436920119802,1,90,6,"auto",3,550
"psi - theta",0.378780980243182,0.938181818181818,1.37439310900147,0.814545454545455,90,6,"auto",3,550
"rho - (Intercept)",0.174227228360863,0.925454545454545,0.629580080545955,1,90,6,"auto",3,550
"rho - x",0.128925647772724,0.949090909090909,0.477144160043974,0.996363636363636,90,6,"auto",3,550
"psi - (Intercept)",0.171833608670383,0.952727272727273,0.657117103210362,1,90,8,"auto",3,550
"psi - x",0.150331503433064,0.941818181818182,0.546118017434553,1,90,8,"auto",3,550
"psi - theta",0.303959822018241,0.958181818181818,1.1853595344077,0.927272727272727,90,8,"auto",3,550
"rho - (Intercept)",0.139740303083434,0.94,0.538887222060474,1,90,8,"auto",3,550
"rho - x",0.107496400593455,0.949090909090909,0.408994726060024,1,90,8,"auto",3,550
"psi - (Intercept)",0.151391751274497,0.947272727272727,0.590032538360499,0.9,100,10,"auto",4,550
"psi - x",0.12019895109428,0.954545454545455,0.47080774762243,1,100,10,"auto",4,550
"psi - theta",0.274672229203731,0.947272727272727,1.06695716953891,0.958181818181818,100,10,"auto",4,550
"rho - (Intercept)",0.0954457999292398,0.969090909090909,0.403707628689491,1,100,10,"auto",4,550
"rho - x",0.0739439022883435,0.972727272727273,0.313979327614238,1,100,10,"auto",4,550
"psi - (Intercept)",0.141869143322975,0.949090909090909,0.545195753797968,0.927272727272727,100,12,"auto",4,550
"psi - x",0.109343929971195,0.958181818181818,0.430237050940788,1,100,12,"auto",4,550
"psi - theta",0.252366997293407,0.947272727272727,0.978737714958692,0.985454545454545,100,12,"auto",4,550
"rho - (Intercept)",0.0962654854444431,0.949090909090909,0.366311711332892,1,100,12,"auto",4,550
"rho - x",0.0758064265870098,0.943636363636364,0.284749711192874,1,100,12,"auto",4,550
"psi - (Intercept)",3.84588045723199,0.957642725598527,1.6456775201071,0.61878453038674,100,4,"auto",4,543
"psi - x",2.9188326337987,0.970534069981584,1.34985912558762,0.994475138121547,100,4,"auto",4,543
"psi - theta",2.59347319384965,0.946593001841621,2.04083206979771,0.681399631675875,100,4,"auto",4,543
"rho - (Intercept)",0.18652290653215,0.959484346224678,0.658940672207554,1,100,4,"auto",4,543
"rho - x",0.138032869208244,0.952117863720074,0.509932577913145,0.979742173112339,100,4,"auto",4,543
"psi - (Intercept)",0.184408457335178,0.963636363636364,0.730777759712843,0.723636363636364,100,6,"auto",4,550
"psi - x",0.154981457373707,0.958181818181818,0.602206667639384,1,100,6,"auto",4,550
"psi - theta",0.342958414041817,0.961818181818182,1.3578929162302,0.843636363636364,100,6,"auto",4,550
"rho - (Intercept)",0.133468839113044,0.963636363636364,0.530224273237118,1,100,6,"auto",4,550
"rho - x",0.10542544833873,0.958181818181818,0.410933700233131,1,100,6,"auto",4,550
"psi - (Intercept)",0.162003251002053,0.96,0.647906810396587,0.823636363636364,100,8,"auto",4,550
"psi - x",0.137195808381577,0.950909090909091,0.52397219458699,1,100,8,"auto",4,550
"psi - theta",0.303322756150598,0.943636363636364,1.18308740395898,0.910909090909091,100,8,"auto",4,550
"rho - (Intercept)",0.111841539730346,0.954545454545455,0.454105083084101,1,100,8,"auto",4,550
"rho - x",0.0843420189137982,0.96,0.35255540950859,1,100,8,"auto",4,550
"psi - (Intercept)",7.03118624819095,0.945996275605214,6.23567760034325,0.402234636871508,30,10,"auto",4,537
"psi - x",4.08446636859403,0.949720670391061,3.96930771130231,0.964618249534451,30,10,"auto",4,537
"psi - theta",3.43661303276872,0.947858472998138,5.33881599325282,0.482309124767225,30,10,"auto",4,537
"rho - (Intercept)",0.267256389401787,0.914338919925512,0.737314677717206,0.998137802607076,30,10,"auto",4,537
"rho - x",0.173831620931698,0.906890130353817,0.560534734615526,0.960893854748603,30,10,"auto",4,537
"psi - (Intercept)",2.84832912929798,0.966542750929368,2.26469250108423,0.453531598513011,30,12,"auto",4,538
"psi - x",1.78373420808859,0.944237918215613,1.4897691613899,0.985130111524164,30,12,"auto",4,538
"psi - theta",1.65104032181357,0.960966542750929,2.66225864281515,0.561338289962825,30,12,"auto",4,538
"rho - (Intercept)",0.222200407565471,0.91449814126394,0.673681739959423,1,30,12,"auto",4,538
"rho - x",0.148756319048713,0.925650557620818,0.511121672722882,0.973977695167286,30,12,"auto",4,538
"psi - (Intercept)",4.60774509245355,0.979890310786106,3.51637142477868,0.228519195612431,30,4,"auto",4,547
"psi - x",4.21733811235382,0.968921389396709,3.01078920490799,0.83363802559415,30,4,"auto",4,547
"psi - theta",2.06400262988941,0.96526508226691,9.70476379108272,0.113345521023766,30,4,"auto",4,547
"rho - (Intercept)",0.362844985020953,0.923217550274223,1.22707536434994,0.914076782449726,30,4,"auto",4,547
"rho - x",0.265105809218014,0.919561243144424,0.92222758744147,0.621572212065813,30,4,"auto",4,547
"psi - (Intercept)",0.737318889479835,0.970909090909091,1.71060126152344,0.314545454545455,30,6,"auto",4,550
"psi - x",0.689093739761665,0.967272727272727,1.43489918044505,0.96,30,6,"auto",4,550
"psi - theta",1.15842528502294,0.963636363636364,4.02450531652131,0.314545454545455,30,6,"auto",4,550
"rho - (Intercept)",0.270138199334781,0.954545454545455,0.989566818337247,0.983636363636364,30,6,"auto",4,550
"rho - x",0.191155853218489,0.963636363636364,0.746927312462199,0.794545454545455,30,6,"auto",4,550
"psi - (Intercept)",5.10634893220843,0.970695970695971,5.26599544006796,0.382783882783883,30,8,"auto",4,546
"psi - x",3.64511739428949,0.950549450549451,3.85381967341016,0.970695970695971,30,8,"auto",4,546
"psi - theta",2.58826874314469,0.957875457875458,4.5969010913892,0.408424908424908,30,8,"auto",4,546
"rho - (Intercept)",0.249147461764176,0.923076923076923,0.830540058272048,0.996336996336996,30,8,"auto",4,546
"rho - x",0.176461872984261,0.934065934065934,0.630508488517745,0.886446886446886,30,8,"auto",4,546
"psi - (Intercept)",1.12921245851954,0.95045871559633,1.19469215235338,0.515596330275229,40,10,"auto",4,545
"psi - x",0.673191583831671,0.954128440366973,0.907640180356443,0.998165137614679,40,10,"auto",4,545
"psi - theta",0.715111380040881,0.952293577981651,1.902405226522,0.647706422018349,40,10,"auto",4,545
"rho - (Intercept)",0.176404441126292,0.95045871559633,0.637983600474288,1,40,10,"auto",4,545
"rho - x",0.129210608827718,0.95045871559633,0.488292434363666,0.987155963302752,40,10,"auto",4,545
"psi - (Intercept)",0.233897344423596,0.954545454545455,0.892553393540783,0.576363636363636,40,12,"auto",4,550
"psi - x",0.183209994920778,0.956363636363636,0.695691578167429,1,40,12,"auto",4,550
"psi - theta",0.418372549401207,0.956363636363636,1.59646290166399,0.703636363636364,40,12,"auto",4,550
"rho - (Intercept)",0.156004605522953,0.936363636363636,0.585038879173473,1,40,12,"auto",4,550
"rho - x",0.118586628540155,0.938181818181818,0.447659093739745,0.996363636363636,40,12,"auto",4,550
"psi - (Intercept)",2.29715897027736,0.948998178506375,2.10900031681605,0.285974499089253,40,4,"auto",4,549
"psi - x",2.47259964593253,0.974499089253188,1.95078021335393,0.914389799635701,40,4,"auto",4,549
"psi - theta",1.08463021012961,0.963570127504554,4.20781460035419,0.238615664845173,40,4,"auto",4,549
"rho - (Intercept)",0.313250067373387,0.939890710382514,1.06625911302129,0.954462659380692,40,4,"auto",4,549
"rho - x",0.226587448075559,0.930783242258652,0.807911272040243,0.717668488160291,40,4,"auto",4,549
"psi - (Intercept)",3.39994950857521,0.970642201834862,1.80933071899368,0.396330275229358,40,6,"auto",4,545
"psi - x",2.16014934089422,0.965137614678899,1.41519646958129,0.977981651376147,40,6,"auto",4,545
"psi - theta",2.66010494519334,0.961467889908257,3.07457494601714,0.394495412844037,40,6,"auto",4,545
"rho - (Intercept)",0.226991766546119,0.954128440366973,0.847982988549605,0.998165137614679,40,6,"auto",4,545
"rho - x",0.170799946235561,0.955963302752294,0.648111646165228,0.900917431192661,40,6,"auto",4,545
"psi - (Intercept)",5.18931349815262,0.97951582867784,3.49461399283715,0.467411545623836,40,8,"auto",4,537
"psi - x",3.74429626045984,0.957169459962756,2.50573347126493,0.977653631284916,40,8,"auto",4,537
"psi - theta",2.83264248198412,0.964618249534451,4.27391126796379,0.538175046554935,40,8,"auto",4,537
"rho - (Intercept)",0.224356882318451,0.929236499068901,0.718447774847058,1,40,8,"auto",4,537
"rho - x",0.160545591738355,0.929236499068901,0.551413945876674,0.960893854748603,40,8,"auto",4,537
"psi - (Intercept)",0.219360201282555,0.958181818181818,0.854754189873199,0.6,50,10,"auto",4,550
"psi - x",0.190523842669748,0.945454545454545,0.680317231371961,0.998181818181818,50,10,"auto",4,550
"psi - theta",0.399555515067041,0.950909090909091,1.52989993619028,0.714545454545455,50,10,"auto",4,550
"rho - (Intercept)",0.140538950269664,0.950909090909091,0.573615640199101,1,50,10,"auto",4,550
"rho - x",0.113303042885213,0.952727272727273,0.441656619660978,0.994545454545455,50,10,"auto",4,550
"psi - (Intercept)",0.203015427578725,0.96,0.791086325110193,0.661818181818182,50,12,"auto",4,550
"psi - x",0.170692819098988,0.945454545454545,0.619078474230879,1,50,12,"auto",4,550
"psi - theta",0.369297370322189,0.945454545454545,1.41384028522128,0.781818181818182,50,12,"auto",4,550
"rho - (Intercept)",0.141181424817954,0.941818181818182,0.521143569341321,1,50,12,"auto",4,550
"rho - x",0.106966298847636,0.941818181818182,0.400938555621438,0.996363636363636,50,12,"auto",4,550
"psi - (Intercept)",2.58525403896987,0.961678832116788,2.05279739642157,0.332116788321168,50,4,"auto",4,548
"psi - x",1.69070224262257,0.961678832116788,1.63715996502357,0.963503649635037,50,4,"auto",4,548
"psi - theta",1.65660032874605,0.958029197080292,3.96549791581181,0.313868613138686,50,4,"auto",4,548
"rho - (Intercept)",0.253552633573558,0.948905109489051,0.943801926918998,0.992700729927007,50,4,"auto",4,548
"rho - x",0.197085138252313,0.936131386861314,0.721216154677196,0.822992700729927,50,4,"auto",4,548
"psi - (Intercept)",5.02236065940102,0.972118959107807,4.13918136717934,0.460966542750929,50,6,"auto",4,538
"psi - x",3.30128807883403,0.955390334572491,2.78664972892588,0.981412639405205,50,6,"auto",4,538
"psi - theta",1.48028159949194,0.944237918215613,64.1003615983532,0.50185873605948,50,6,"auto",4,538
"rho - (Intercept)",0.236073413001351,0.946096654275093,0.745144628992039,1,50,6,"auto",4,538
"rho - x",0.164628392236983,0.923791821561338,0.572939427479764,0.955390334572491,50,6,"auto",4,538
"psi - (Intercept)",2.37808210358159,0.943223443223443,1.58726187107003,0.549450549450549,50,8,"auto",4,546
"psi - x",1.42887964096149,0.935897435897436,1.15569044830156,0.998168498168498,50,8,"auto",4,546
"psi - theta",0.599842416722328,0.93040293040293,1.90484629301942,0.63003663003663,50,8,"auto",4,546
"rho - (Intercept)",0.183501310581978,0.93956043956044,0.647211621384342,1,50,8,"auto",4,546
"rho - x",0.133425514495173,0.945054945054945,0.496654749158167,0.97985347985348,50,8,"auto",4,546
"psi - (Intercept)",0.195840640085712,0.956363636363636,0.778510920956119,0.674545454545455,60,10,"auto",4,550
"psi - x",0.156818378507276,0.961818181818182,0.61564847950365,1,60,10,"auto",4,550
"psi - theta",0.350456673768788,0.961818181818182,1.40230405254101,0.810909090909091,60,10,"auto",4,550
"rho - (Intercept)",0.133376048877774,0.950909090909091,0.523396770338021,1,60,10,"auto",4,550
"rho - x",0.106780368629444,0.947272727272727,0.403132646482732,0.998181818181818,60,10,"auto",4,550
"psi - (Intercept)",0.183076759715962,0.949090909090909,0.713849321837478,0.770909090909091,60,12,"auto",4,550
"psi - x",0.150324135561258,0.956363636363636,0.56161576785622,1,60,12,"auto",4,550
"psi - theta",0.323883674956538,0.945454545454545,1.28057927609248,0.878181818181818,60,12,"auto",4,550
"rho - (Intercept)",0.1226069770425,0.958181818181818,0.475337149939878,1,60,12,"auto",4,550
"rho - x",0.0958202107506667,0.943636363636364,0.366104306666797,1,60,12,"auto",4,550
"psi - (Intercept)",2.13966949982885,0.958029197080292,1.84530231326005,0.430656934306569,60,4,"auto",4,548
"psi - x",1.66960699852742,0.963503649635037,1.58351612434136,0.981751824817518,60,4,"auto",4,548
"psi - theta",1.06549990085034,0.958029197080292,3.18646953164334,0.417883211678832,60,4,"auto",4,548
"rho - (Intercept)",0.241810356523946,0.943430656934307,0.8525678304951,1,60,4,"auto",4,548
"rho - x",0.176970636987531,0.941605839416058,0.655538578841081,0.886861313868613,60,4,"auto",4,548
"psi - (Intercept)",4.8438589947863,0.941068139963168,3.85724432367952,0.515653775322284,60,6,"auto",4,543
"psi - x",2.98345926339859,0.957642725598527,2.57865305154031,0.987108655616943,60,6,"auto",4,543
"psi - theta",1.86682428223953,0.957642725598527,3.58563592031006,0.593001841620626,60,6,"auto",4,543
"rho - (Intercept)",0.213758634553113,0.94475138121547,0.680092789692823,1,60,6,"auto",4,543
"rho - x",0.149234836267082,0.937384898710866,0.5234788491745,0.977900552486188,60,6,"auto",4,543
"psi - (Intercept)",0.215993314612783,0.958105646630237,0.850488217393687,0.604735883424408,60,8,"auto",4,549
"psi - x",0.173954249369016,0.958105646630237,0.681943527052291,1,60,8,"auto",4,549
"psi - theta",0.400385350047044,0.95264116575592,1.53910420157733,0.728597449908925,60,8,"auto",4,549
"rho - (Intercept)",0.149802654759598,0.95264116575592,0.589994928153208,1,60,8,"auto",4,549
"rho - x",0.114742283172445,0.947176684881603,0.453444750887583,1,60,8,"auto",4,549
"psi - (Intercept)",0.189083527967154,0.934545454545455,0.713811422994206,0.749090909090909,70,10,"auto",4,550
"psi - x",0.153664660131062,0.96,0.567004989157018,1,70,10,"auto",4,550
"psi - theta",0.335835442481984,0.954545454545455,1.29131810554103,0.847272727272727,70,10,"auto",4,550
"rho - (Intercept)",0.128059403786671,0.947272727272727,0.484671037401576,1,70,10,"auto",4,550
"rho - x",0.0971003902361755,0.936363636363636,0.374537227218577,1,70,10,"auto",4,550
"psi - (Intercept)",0.162423764586381,0.954545454545455,0.656011970315517,0.818181818181818,70,12,"auto",4,550
"psi - x",0.135136198985234,0.945454545454545,0.51554019381033,1,70,12,"auto",4,550
"psi - theta",0.290781853640001,0.954545454545455,1.17820308737717,0.930909090909091,70,12,"auto",4,550
"rho - (Intercept)",0.115016134640354,0.936363636363636,0.438728159611531,1,70,12,"auto",4,550
"rho - x",0.0884668422781641,0.94,0.339449677687938,1,70,12,"auto",4,550
"psi - (Intercept)",2.4520184779187,0.976014760147601,2.67131319625154,0.429889298892989,70,4,"auto",4,542
